stop_name,Passenger flow in 2023,Popularity rating
Mjódd,7208,1
Hlemmur,6800,2
Hamraborg,3680,3
"Ártún (A,B,C og D)",2920,4
Miðbær (Lækjartorg A og B og MR),2630,5
Fjörður,1490,6
Gamla Hringbraut,1270,7
Smáralind,1230,8
"Ásgarður A, B og C",1170,9
Háskóli Íslands,1110,10
Kringlan,980,11
"Spöngin (A,B og Borgavegur báðar áttir)",920,12
Skeifan,860,13
Verzló/Borgarleikhúsið,830,14
Norðurbær,790,15
Sogamýri,790,16
Hlíðar,750,17
Kringlumýrarbraut,750,18
Þjóðleikhúsið,710,19
Bíó Paradís,700,20
