ar,smasvaedi,kyn,aldursflokkur,fjoldi
2023,1401,2,0-4 ára,75
2023,1706,2,0-4 ára,64
2023,2504,2,0-4 ára,56
2023,3504,2,0-4 ára,75
2023,3102,1,0-4 ára,53
2023,2501,2,0-4 ára,61
2023,4101,2,0-4 ára,32
2023,1807,2,0-4 ára,48
2023,1602,2,0-4 ára,65
2023,3303,2,0-4 ára,45
2023,801,2,0-4 ára,44
2023,2502,2,0-4 ára,39
2023,3503,2,0-4 ára,47
2023,704,1,0-4 ára,70
2023,4102,1,0-4 ára,77
2023,1404,2,0-4 ára,34
2023,3101,1,0-4 ára,56
2023,1101,1,0-4 ára,59
2023,3004,1,0-4 ára,145
2023,3904,2,0-4 ára,45
2023,2501,1,0-4 ára,75
2023,3402,1,0-4 ára,34
2023,2602,2,0-4 ára,59
2023,2102,1,0-4 ára,44
2023,4201,2,0-4 ára,40
2023,2203,1,0-4 ára,83
2023,1203,2,0-4 ára,59
2023,1005,2,0-4 ára,34
2023,2803,2,0-4 ára,120
2023,1201,2,0-4 ára,40
2023,3102,2,0-4 ára,54
2023,2705,1,0-4 ára,112
2023,1202,1,0-4 ára,80
2023,4204,2,0-4 ára,22
2023,3003,2,0-4 ára,48
2023,3901,2,0-4 ára,43
2023,903,2,0-4 ára,50
2023,206,2,0-4 ára,52
2023,3401,2,0-4 ára,61
2023,707,2,0-4 ára,50
2023,602,2,0-4 ára,73
2023,1706,1,0-4 ára,58
2023,3002,1,0-4 ára,56
2023,1803,1,0-4 ára,251
2023,2504,1,0-4 ára,72
2023,207,1,0-4 ára,42
2023,1402,1,0-4 ára,84
2023,205,1,0-4 ára,40
2023,1206,1,0-4 ára,27
2023,1801,1,0-4 ára,43
2023,201,1,0-4 ára,29
2023,4001,2,0-4 ára,25
2023,202,2,0-4 ára,71
2023,1804,1,0-4 ára,25
2023,2002,2,0-4 ára,27
2023,1101,2,0-4 ára,60
2023,301,2,0-4 ára,98
2023,3703,2,0-4 ára,35
2023,2804,2,0-4 ára,79
2023,2303,1,0-4 ára,54
2023,2006,1,0-4 ára,78
2023,1705,2,0-4 ára,61
2023,706,1,0-4 ára,100
2023,903,1,0-4 ára,85
