ar,smasvaedi,aldursflokkur,fjoldi,fjoldi_total
2023,101,65-69 ára,17,1386
2023,101,25-29 ára,96,1496
2023,101,50-54 ára,41,1496
2023,101,55-59 ára,34,1496
2023,101,10-14 ára,36,1386
2024,101,55-59 ára,33,1386
2024,101,65-69 ára,25,1496
2023,101,65-69 ára,22,1496
2024,101,85-89 ára,5,1496
2024,101,80-84 ára,7,1496
2023,101,80-84 ára,8,1496
2023,101,75-79 ára,12,1496
2023,101,25-29 ára,64,1386
2024,101,55-59 ára,38,1496
2024,101,25-29 ára,77,1496
2024,101,15-19 ára,39,1496
2024,101,15-19 ára,34,1386
2023,101,30-34 ára,97,1496
2024,101,35-39 ára,77,1386
2024,101,10-14 ára,41,1496
2023,101,60-64 ára,26,1496
2024,101,70-74 ára,19,1496
2023,101,55-59 ára,37,1386
2024,101,40-44 ára,72,1386
2024,101,50-54 ára,42,1496
2024,101,25-29 ára,62,1386
2024,101,80-84 ára,4,1386
2024,101,60-64 ára,24,1496
2024,101,35-39 ára,67,1496
2023,101,20-24 ára,57,1386
2023,101,75-79 ára,7,1386
2024,101,75-79 ára,10,1496
2024,101,30-34 ára,95,1496
2024,101,20-24 ára,55,1386
2023,101,5-9 ára,43,1496
2023,101,80-84 ára,2,1386
2023,101,60-64 ára,28,1386
2023,101,30-34 ára,101,1386
2023,101,70-74 ára,16,1496
2024,101,20-24 ára,53,1496
2024,101,90 ára og eldri,4,1496
2024,101,65-69 ára,25,1386
2023,101,45-49 ára,45,1496
2024,101,5-9 ára,43,1496
2023,101,35-39 ára,67,1496
2024,101,10-14 ára,35,1386
2024,101,0-4 ára,42,1386
2024,101,0-4 ára,46,1496
2023,101,15-19 ára,39,1496
2023,101,0-4 ára,51,1496
2023,101,0-4 ára,51,1386
2024,101,45-49 ára,45,1386
2024,101,75-79 ára,4,1386
2023,101,90 ára og eldri,3,1496
2024,101,50-54 ára,34,1386
2023,101,20-24 ára,51,1496
2024,101,70-74 ára,12,1386
2023,101,15-19 ára,34,1386
2023,101,40-44 ára,59,1496
2024,101,5-9 ára,34,1386
2023,101,10-14 ára,44,1496
