service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
220,0,0,0,0,0,1,0,20241119,20250413
368,1,1,1,1,1,0,0,20241119,20250413
373,0,0,0,0,0,0,1,20241119,20250413
377,0,0,0,0,0,1,0,20241119,20250413
378,0,0,0,0,0,1,0,20241119,20250413
384,0,0,0,0,0,0,1,20241119,20250413
385,1,1,1,1,1,0,0,20241119,20250413
387,0,0,0,0,0,0,1,20241119,20250413
388,1,1,1,1,1,0,0,20241119,20250413
389,0,0,0,0,0,0,1,20241119,20250413
390,0,0,0,0,0,1,0,20241119,20250413
393,0,0,0,0,0,1,0,20241119,20250413
394,0,0,0,0,1,0,0,20241119,20250413
395,1,1,1,1,1,0,0,20241119,20250413
397,0,0,0,0,0,1,0,20241119,20250413
411,0,0,0,0,1,0,0,20241119,20250413
419,1,0,0,0,0,0,0,20241119,20250413
423,0,1,1,1,0,0,0,20241119,20250413
450,0,0,1,0,0,0,0,20241119,20250413
454,0,0,0,0,0,1,0,20241119,20250413
455,0,0,0,1,0,0,0,20241119,20250413
458,1,1,1,1,1,0,0,20241119,20250413
459,1,0,1,0,1,0,0,20241119,20250413
460,0,0,1,0,0,0,0,20241119,20250413
461,0,0,0,0,0,1,0,20241119,20250413
462,0,0,0,0,0,0,1,20241119,20250413
463,0,0,0,0,0,0,1,20241119,20250413
464,1,1,1,1,1,0,0,20241119,20250413
466,0,0,0,0,0,0,1,20241119,20250413
467,0,1,0,0,0,0,0,20241119,20250413
468,0,0,0,0,0,1,0,20241119,20250413
469,0,0,0,0,0,0,1,20241119,20250413
470,0,0,0,0,0,1,0,20241119,20250413
471,1,1,1,1,1,0,0,20241119,20250413
472,0,0,0,0,0,0,1,20241119,20250413
473,1,1,0,1,0,0,0,20241119,20250413
474,0,0,1,0,0,0,0,20241119,20250413
475,0,0,0,0,0,1,0,20241119,20250413
477,1,0,0,0,0,0,0,20241119,20250413
478,0,0,0,0,0,1,0,20241119,20250413
479,1,1,1,1,1,0,0,20241119,20250413
480,0,0,0,1,0,0,0,20241119,20250413
481,0,0,0,0,0,1,0,20241119,20250413
482,1,1,0,0,1,0,0,20241119,20250413
483,0,0,1,1,0,0,0,20241119,20250413
484,0,0,0,0,0,0,1,20241119,20250413
485,0,0,0,0,0,1,0,20241119,20250413
486,0,0,0,0,0,0,1,20241119,20250413
487,0,0,0,0,0,0,1,20241119,20250413
488,0,0,0,0,0,1,0,20241119,20250413
489,0,0,0,0,1,0,0,20241119,20250413
490,1,1,1,1,1,0,0,20241119,20250413
491,0,0,0,0,0,1,0,20241119,20250413
492,0,0,0,0,0,0,1,20241119,20250413
493,0,0,1,0,0,0,0,20241119,20250413
494,0,0,0,0,0,1,0,20241119,20250413
495,0,0,0,0,0,0,1,20241119,20250413
496,0,0,0,0,1,0,0,20241119,20250413
84,1,1,1,1,1,0,0,20241119,20250413
