route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
87,475,20006,"Sveitarfélagið Vogar",,1,"87-A",2100,,
"A6",469,20014,"Síðuhverfi-Naustahverfi",,0,"A6",2004,,
"A5",490,20070,,,0,"A5",2010,,
55,479,20073,"KEF-Airport",,1,"55-A",2097,,
"A1",490,20075,,,0,"A1",2006,,
89,479,20085,"Sandgerði",,0,"89-A",2101,,
55,475,20086,"Fjörður",,0,"55-A",2096,,
"R3",84,20106,,,0,"3-R",2092,,
55,475,20161,"Fjörður",,0,"55-A",2096,,
55,479,20165,"Fjörður",,0,"55-A",2096,,
"A6",490,20178,"Síðuhverfi-Naustahverfi",,0,"A6",2004,,
89,479,20183,"Sandgerði",,0,"89-A",2104,,
55,495,20240,"KEF-Airport",,1,"55-A",2097,,
"A2",490,20260,,,0,"A2",2007,,
"A2",490,20280,,,0,"A2",2007,,
"A6",490,20336,"Síðuhverfi-Naustahverfi",,0,"A6",2004,,
55,479,20349,"Reykjavík-BSÍ",,0,"55-A",2098,,
"A2",490,20355,,,0,"A2",2007,,
"A6",470,20357,"Síðuhverfi-Naustahverfi",,0,"A6",2004,,
87,479,20372,"Miðstöð",,0,"87-A",2099,,
71,450,20381,"Þorlákshöfn",,1,"71-A",2192,,
78,482,20401,"Siglufjörður",,1,"78-A",2169,,
"A1",490,20410,,,0,"A1",2006,,
51,450,20414,"Reykjavík-Mjódd",,0,"51-B",2193,,
87,495,20426,"Miðstöð",,0,"87-A",2099,,
89,479,20427,"Reykjanesbær-Miðstöð",,1,"89-A",2102,,
"A3",490,20437,,,0,"A3",2008,,
71,450,20468,"Hveragerði",,0,"71-A",2191,,
51,450,20479,"Reykjavík-Mjódd",,0,"52-A",2193,,
78,482,20482,"Akureyri",,0,"78-A",2170,,
"R3",84,20518,,,0,"3-R",2092,,
87,479,20537,"Miðstöð",,0,"87-A",2099,,
51,450,20563,"Selfoss",,0,"51-A",2196,,
"A2",490,20575,,,0,"A2",2007,,
"A6",470,20585,"Síðuhverfi-Naustahverfi",,0,"A6",2004,,
"R1",84,20596,,,0,"1A-R",2091,,
"R3",84,20609,,,0,"3-R",2092,,
89,475,20628,"Reykjanesbær-Miðstöð",,1,"89-A",2102,,
55,479,20663,"KEF-Airport",,1,"55-A",2097,,
"R1",84,20708,,,0,"1B-R",2091,,
55,479,20754,"Reykjavík-BSÍ",,0,"55-A",2098,,
"R3",84,20764,,,0,"3-R",2092,,
"R3",84,20800,,,0,"3-R",2092,,
"R1",84,20814,,,0,"1A-R",2091,,
55,479,20817,"KEF-Airport",,1,"55-A",2095,,
52,450,20821,"Reykjavík-Mjódd",,1,"52-A",2198,,
51,450,20838,"Vík í Mýrdal",,1,"51-A",2195,,
55,479,20852,"Reykjavík-BSÍ",,0,"55-B",2098,,
87,479,20862,"Sveitarfélagið Vogar",,1,"87-A",2100,,
55,475,20907,"Fjörður",,0,"55-A",2096,,
87,479,20918,"Sveitarfélagið Vogar",,1,"87-A",2100,,
51,450,20948,"Selfoss",,1,"52-A",2194,,
"R3",84,20949,,,0,"3-R",2092,,
89,479,20962,"Reykjanesbær-Miðstöð",,1,"89-A",2102,,
89,479,20963,"Reykjanesbær-Miðstöð",,1,"89-A",2102,,
"A2",490,20976,,,0,"A2",2007,,
55,479,20982,"KEF-Airport",,1,"55-C",2095,,
89,479,21017,"Sandgerði",,0,"89-A",2104,,
51,450,21028,"Reykjavík-Mjódd",,0,"52-A",2193,,
55,475,21032,"KEF-Airport",,1,"55-A",2097,,
"R3",84,21085,,,0,"3-R",2092,,
"R1",84,21093,,,0,"1A-R",2090,,
"A5",490,21130,,,0,"A5",2010,,
"R4",84,21144,,,0,"4-R",2093,,
"A1",490,21154,,,0,"A1",2006,,
89,475,21174,"Sandgerði",,0,"89-A",2101,,
"R3",84,21179,,,0,"3-R",2092,,
51,450,21212,"Selfoss",,1,"51-E",2194,,
51,450,21230,"Selfoss",,1,"51-A",2194,,
"R1",84,21232,,,0,"1A-R",2091,,
51,450,21254,"Reykjavík-Mjódd",,0,"51-B",2193,,
87,495,21261,"Sveitarfélagið Vogar",,1,"87-A",2100,,
55,475,21262,"KEF-Airport",,1,"55-A",2097,,
"A4",490,21286,,,0,"A4",2009,,
87,495,21296,"Miðstöð",,0,"87-A",2099,,
"R3",84,21313,,,0,"3-R",2092,,
55,495,21325,"Fjörður",,0,"55-A",2096,,
89,479,21358,"Sandgerði",,0,"89-A",2101,,
78,482,21370,"Siglufjörður",,1,"78-A",2169,,
55,479,21422,"Fjörður",,0,"55-A",2096,,
"R3",84,21437,,,0,"3-R",2092,,
87,479,21445,"Miðstöð",,0,"87-A",2099,,
87,479,21467,"Miðstöð",,0,"87-A",2099,,
"A6",490,21473,"Síðuhverfi-Naustahverfi",,0,"A6",2004,,
55,495,21524,"Fjörður",,0,"55-A",2096,,
89,495,21529,"Reykjanesbær-Miðstöð",,1,"89-A",2102,,
"A5",490,21535,,,0,"A5",2010,,
55,495,21543,"KEF-Airport",,1,"55-A",2097,,
56,472,21556,"Egilsstaðir",,1,"56-A",2174,,
89,495,21563,"Sandgerði",,0,"89-A",2101,,
"A6",490,21572,"Síðuhverfi-Naustahverfi",,0,"A6",2004,,
87,479,21581,"Miðstöð",,0,"87-A",2099,,
"R3",84,21598,,,0,"3-R",2092,,
"A6",469,21607,"Síðuhverfi-Naustahverfi",,0,"A6",2004,,
"A3",490,21626,,,0,"A3",2008,,
"R4",84,21644,,,0,"4-R",2093,,
"A6",490,21686,"Síðuhverfi-Naustahverfi",,0,"A6",2004,,
"A3",490,21702,,,0,"A3",2008,,
"A5",490,21753,,,0,"A5",2010,,
"A4",490,21801,,,0,"A4",2009,,
55,479,21817,"Reykjavík-BSÍ",,0,"55-C",2098,,
"A4",490,21822,,,0,"A4",2009,,
55,495,21847,"Fjörður",,0,"55-A",2096,,
89,479,21851,"Reykjanesbær-Miðstöð",,1,"89-A",2102,,
55,495,21857,"KEF-Airport",,1,"55-A",2097,,
"R1",84,21871,,,0,"1B-R",2091,,
"R1",84,21872,,,0,"1A-R",2091,,
