Exported by,ExportComments.com,,,,,,,,
Source URL,"https://www.google.com/maps/search/schools+in+iceland/@64.1096787,-21.9320708,15919m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",,,,,,,,
Timezone,UTC,,,,,,,,
,,,,,,,,,
Some Products may not appear here because of their privacy settings,,,,,,,,,
,,,,,,,,,
,,Name,Address,City,State,Website,Location Lat,Location Lng,Tags
1,,Commercial College of Iceland,Ofanleiti 1,"Reykjavík, Iceland",Háaleiti og Bústaðir,http://www.verslo.is/,64.1279686,-21.8963285,school
3,,Garðaskóli,Ásgarður,"Garðabær, Iceland",,,64.0892859,-21.9286525,elementary_school
4,,Hlíðaskóli,Hamrahlíð 2,"Reykjavík, Iceland",Hlíðar,https://hlidaskoli.is/,64.1309519,-21.9103276,school
5,,Hofsstaðaskóli,Skólabraut 5,"Garðabær, Iceland",Hofsstadamyri,,64.0938473,-21.9068938,elementary_school
6,,Hvassaleitisskóli,Stóragerði 17,"Reykjavík, Iceland",Háaleiti og Bústaðir,http://www.hvassaleitisskoli.is/,64.1278129,-21.8823942,school
7,,Háskóli Íslands Skrifstofa,Iceland,"Reykjavík, Iceland",Hlíðar,http://www.hi.is/,64.1396759,-21.8955816,school
9,,Iceland University of the Arts,Stakkahlíð 1,"Reykjavík, Iceland",Hlíðar,http://www.lhi.is/,64.1368841,-21.9019256,university
10,,International School of Iceland,Þórsgrund 2,"Garðabær, Iceland",,http://www.internationalschool.is/,64.091685,-21.9352,middle_school
11,,Klettaskóli,Suðurhlíð 9,"Reykjavík, Iceland",Hlíðar,http://www.klettaskoli.is/,64.1254486,-21.9052783,school
12,,Kvennaskólinn í Reykjavík,Fríkirkjuvegur 9,"Reykjavík, Iceland",Miðborg,http://www.kvenno.is/,64.1438053,-21.9385342,higher_secondary_school
13,,Kópavogur College,Digranesvegur 51,"Kópavogur, Iceland",Digranes,http://www.mk.is/,64.1108464,-21.8950921,middle_school
14,,Landakotsskóli,43X2+45H,"Reykjavík, Iceland",Vesturbær,http://www.landakotsskoli.is/,64.1478211,-21.9495234,school
15,,Menntaskólinn við Hamrahlíð,Hamrahlíð 10,"Reykjavík, Iceland",Hlíðar,https://www.mh.is/,64.1306674,-21.9054393,high_school
16,,Sjalandsskoli,Langalína 8,"Garðabær, Iceland",,http://www.sjalandsskoli.is/,64.0929042,-21.9366103,school
17,,Suðurhlíðarskóli,105,"Reykjavík, Iceland",Hlíðar,http://sudurhlidarskoli.is/,64.1216758,-21.9018722,school
18,,The Icelandic Film School,Suðurlandsbraut 18 108,"Reykjavík, Iceland",Háaleiti og Bústaðir,http://kvikmyndaskoli.is/,64.138123,-21.8786293,school
19,,Tækniskólinn Háteigsvegur,Háteigsvegur 35-39,"Reykjavík, Iceland",Hlíðar,http://www.tskoli.is/,64.1391975,-21.9026066,school
20,,Ísaksskóli,Bólstaðarhlíð 20,"Reykjavík, Iceland",Hlíðar,http://www.isaksskoli.is/,64.1354443,-21.9044504,school
21,,Brúarskóli,Vesturhlíð 5,"Reykjavík, Iceland",Hlíðar,http://www.bruarskoli.is/,64.1257378,-21.9128239,school
22,,Fellaskóli,452G+VXM,"Reykjavík, Iceland",Breiðholt,http://fellaskoli.is/,64.1022109,-21.8225625,elementary_school
23,,Fjölbrautaskólinn við Ármúla,Ármúli 10,"Reykjavík, Iceland",Háaleiti og Bústaðir,http://www.fa.is/,64.1376402,-21.883714,"school
shrimp_farm"
24,,Fjölbrautaskólinn í Garðabæ,Skólabraut,"Garðabær, Iceland",Hofsstadamyri,http://www.fg.is/,64.094121,-21.9032554,high_school
25,,Foldaskóli,Logafold 1,"Reykjavík, Iceland",Grafarvogur,,64.1341758,-21.7939307,primary_school
