Name,Address,City,State,Website,Location Lat,Location Lng,Tags
Commercial College of Iceland,Ofanleiti 1,"Reykjavík, Iceland",Háaleiti og Bústaðir,http://www.verslo.is/,64.1279686,-21.8963285,school
Garðaskóli,Ásgarður,"Garðabær, Iceland",,,64.0892859,-21.9286525,elementary_school
Hlíðaskóli,Hamrahlíð 2,"Reykjavík, Iceland",Hlíðar,https://hlidaskoli.is/,64.1309519,-21.9103276,school
Hofsstaðaskóli,Skólabraut 5,"Garðabær, Iceland",Hofsstadamyri,,64.0938473,-21.9068938,elementary_school
Hvassaleitisskóli,Stóragerði 17,"Reykjavík, Iceland",Háaleiti og Bústaðir,http://www.hvassaleitisskoli.is/,64.1278129,-21.8823942,school
Háskóli Íslands Skrifstofa,Iceland,"Reykjavík, Iceland",Hlíðar,http://www.hi.is/,64.1396759,-21.8955816,school
Iceland University of the Arts,Stakkahlíð 1,"Reykjavík, Iceland",Hlíðar,http://www.lhi.is/,64.1368841,-21.9019256,university
International School of Iceland,Þórsgrund 2,"Garðabær, Iceland",,http://www.internationalschool.is/,64.091685,-21.9352,middle_school
Klettaskóli,Suðurhlíð 9,"Reykjavík, Iceland",Hlíðar,http://www.klettaskoli.is/,64.1254486,-21.9052783,school
Kvennaskólinn í Reykjavík,Fríkirkjuvegur 9,"Reykjavík, Iceland",Miðborg,http://www.kvenno.is/,64.1438053,-21.9385342,higher_secondary_school
Kópavogur College,Digranesvegur 51,"Kópavogur, Iceland",Digranes,http://www.mk.is/,64.1108464,-21.8950921,middle_school
Landakotsskóli,43X2+45H,"Reykjavík, Iceland",Vesturbær,http://www.landakotsskoli.is/,64.1478211,-21.9495234,school
Menntaskólinn við Hamrahlíð,Hamrahlíð 10,"Reykjavík, Iceland",Hlíðar,https://www.mh.is/,64.1306674,-21.9054393,high_school
Sjalandsskoli,Langalína 8,"Garðabær, Iceland",,http://www.sjalandsskoli.is/,64.0929042,-21.9366103,school
Suðurhlíðarskóli,105,"Reykjavík, Iceland",Hlíðar,http://sudurhlidarskoli.is/,64.1216758,-21.9018722,school
The Icelandic Film School,Suðurlandsbraut 18 108,"Reykjavík, Iceland",Háaleiti og Bústaðir,http://kvikmyndaskoli.is/,64.138123,-21.8786293,school
Tækniskólinn Háteigsvegur,Háteigsvegur 35-39,"Reykjavík, Iceland",Hlíðar,http://www.tskoli.is/,64.1391975,-21.9026066,school
